Zeit,Wert
10:37:20,0.926
10:37:28,0.927
10:37:36,0.937
10:37:44,0.936
10:37:52,0.938
10:38:00,0.936
10:38:09,0.937
10:38:17,0.942
10:38:25,0.945
10:38:33,0.95
10:38:41,0.953
10:38:49,0.946
10:38:57,0.947
10:39:05,0.946
10:39:13,0.946
10:39:22,0.954
10:39:30,0.955
10:39:38,0.944
10:39:46,0.946
10:39:54,0.943
10:40:02,0.945
10:40:10,0.947
10:40:18,0.953
10:40:26,0.945
10:40:35,0.946
10:40:43,0.949
10:40:51,0.95
10:40:59,0.949
10:41:07,0.948
10:41:15,0.946
10:41:23,0.943
10:41:31,0.943
10:41:39,0.944
10:41:47,0.945
10:41:56,0.944
10:42:04,0.946
10:42:12,0.95
10:42:20,0.961
10:42:28,0.967
10:42:36,0.968
10:42:44,0.979
10:42:52,0.982
10:43:00,0.98
10:43:09,0.981
10:43:17,0.978
10:43:25,0.981
10:43:33,0.983
10:43:41,0.977
10:43:49,0.979
10:43:57,0.98
10:44:05,0.976
10:44:13,0.981
10:44:21,0.979
10:44:29,0.977
10:44:38,0.976
10:44:46,0.979
10:44:54,0.972
10:45:02,0.971
10:45:10,0.973
10:45:18,0.976
10:45:26,0.977
10:45:34,0.975
10:45:42,0.978
10:45:51,0.974
10:45:59,0.975
10:46:07,0.98
10:46:15,0.98
10:46:23,0.98
10:46:31,0.978
10:46:39,0.983
10:46:47,0.98
10:46:55,0.981
10:47:04,0.979
10:47:12,0.981
10:47:20,0.975
10:47:28,0.975
10:47:36,0.981
10:47:44,0.976
10:47:52,0.98
10:48:00,0.982
10:48:08,0.981
10:48:17,0.975
10:48:25,0.968
10:48:33,0.972
10:48:41,0.971
10:48:49,0.966
10:48:57,0.962
10:49:05,0.95
10:49:13,0.945
10:49:21,0.95
10:49:29,0.946
10:49:38,0.955
10:49:46,0.958
10:49:54,0.951
10:50:02,0.945
10:50:10,0.942
10:50:18,0.941
10:50:26,0.941
10:50:34,0.942
10:50:42,0.931
10:50:51,0.931
10:50:59,0.924
10:51:07,0.926
10:51:15,0.93
10:51:23,0.918
10:51:31,0.919
10:51:39,0.923
10:51:47,0.921
10:51:55,0.926
10:52:03,0.931
10:52:12,0.927
10:52:20,0.93
10:52:28,0.937
10:52:36,0.935
10:52:44,0.933
10:52:52,0.931
10:53:00,0.921
10:53:08,0.912
10:53:16,0.922
10:53:25,0.92
10:53:33,0.919
10:53:41,0.923
10:53:49,0.926
10:53:57,0.932
10:54:05,0.927
10:54:13,0.924
10:54:21,0.925
10:54:30,0.926
10:54:38,0.916
10:54:46,0.921
10:54:54,0.924
10:55:02,0.926
10:55:10,0.93
10:55:18,0.934
10:55:26,0.932
10:55:34,0.923
10:55:43,0.925
10:55:51,0.932
10:55:59,0.937
10:56:07,0.932
10:56:15,0.929
10:56:23,0.927
10:56:31,0.927
10:56:39,0.921
10:56:47,0.92
10:56:56,0.923
10:57:04,0.925
10:57:12,0.924
10:57:20,0.924
10:57:28,0.925
10:57:36,0.924
10:57:44,0.915
10:57:52,0.915
10:58:01,0.912
10:58:09,0.903
10:58:17,0.907
10:58:25,0.909
10:58:33,0.914
10:58:41,0.916
10:58:49,0.913
10:58:57,0.909
10:59:06,0.9
10:59:14,0.906
10:59:22,0.919
10:59:30,0.915
10:59:38,0.915
10:59:46,0.923
10:59:54,0.917
11:00:02,0.929
11:00:11,0.919
11:00:19,0.916
11:00:27,0.913
11:00:35,0.912
11:00:43,0.913
11:00:51,0.907
11:00:59,0.911
11:01:07,0.911
11:01:16,0.916
11:01:24,0.918
11:01:32,0.915
11:01:40,0.916
11:01:48,0.919
11:01:56,0.917
11:02:04,0.912
11:02:12,0.917
11:02:21,0.916
11:02:29,0.914
11:02:37,0.911
11:02:45,0.911
11:02:53,0.9
11:03:01,0.899
11:03:09,0.893
11:03:17,0.898
11:03:25,0.896
11:03:34,0.898
11:03:42,0.907
11:03:50,0.915
11:03:58,0.92
11:04:06,0.919
11:04:14,0.912
11:04:22,0.912
11:04:30,0.909
11:04:39,0.913
11:04:47,0.915
11:04:55,0.914
11:05:03,0.908
11:05:11,0.908
11:05:19,0.906
11:05:27,0.907
11:05:35,0.909
11:05:44,0.914
11:05:52,0.912
11:06:00,0.915
11:06:08,0.921
11:06:16,0.925
11:06:24,0.922
11:06:32,0.915
11:06:40,0.923
11:06:49,0.926
11:06:57,0.916
11:07:05,0.916
11:07:13,0.911
11:07:21,0.91
11:07:29,0.899
11:07:37,0.896
11:07:45,0.902
11:07:54,0.903
11:08:02,0.912
11:08:10,0.916
11:08:18,0.914
11:08:26,0.919
11:08:34,0.915
11:08:42,0.918
11:08:50,0.92
11:08:59,0.919
11:09:07,0.919
11:09:15,0.921
11:09:23,0.932
11:09:31,0.928
11:09:39,0.922
11:09:47,0.922
11:09:55,0.918
11:10:04,0.924
11:10:12,0.921
11:10:20,0.923
11:10:28,0.933
11:10:36,0.927
11:10:44,0.93
11:10:52,0.927
11:11:00,0.925
11:11:08,0.917
11:11:17,0.909
11:11:25,0.916
11:11:33,0.914
11:11:41,0.908
11:11:49,0.907
11:11:57,0.916
11:12:06,0.919
11:12:14,0.916
11:12:22,0.919
11:12:30,0.914
11:12:38,0.918
11:12:46,0.911
11:12:54,0.909
11:13:03,0.922
11:13:11,0.918
11:13:19,0.918
11:13:27,0.913
11:13:35,0.917
11:13:43,0.918
11:13:51,0.917
11:13:59,0.91
11:14:08,0.906
11:14:16,0.908
11:14:24,0.912
11:14:32,0.911
